country,year,migration_no,iso_alpha
Tunisia,1986,6,TUN
Ukraine,1986,7,UKR
Cameroon,1986,7,CMR
Lesotho,1986,7,LSO
Niger,1986,7,NGA
Paraguay,1986,8,PRY
Christmas Island,1986,9,CXR
Barbados,1986,9,BRB
Gibraltar,1986,10,GIB
Oman,1986,10,OMN
Yemen,1986,11,YEM
Nepal,1986,11,NPL
Vanuatu,1986,12,VUT
Sierra Leone,1986,12,SLE
Lithuania,1986,14,LTU
Botswana,1986,14,BWA
Kiribati,1986,15,KIR
Bahamas,1986,15,BHS
French Polynesia,1986,17,PYF
Iceland,1986,17,ISL
Algeria,1986,17,DZA
Qatar,1986,17,QAT
Somalia,1986,17,SOM
Solomon Islands,1986,18,SLB
Madagascar,1986,19,MDG
Costa Rica,1986,19,CRI
Bolivia,1986,20,BOL
Guyana,1986,24,GUY
Jamaica,1986,24,JAM
Libya,1986,25,LBY
Zaire,1986,25,AGO
Ecuador,1986,26,ECU
Morocco,1986,27,MAR
Angola,1986,27,AGO
Ghana,1986,28,GHA
Venezuela,1986,30,VEN
United Arab Emirates,1986,31,ARE
Malawi,1986,31,MWI
Mozambique,1986,31,MOZ
Nigeria,1986,31,NGA
Bahrain,1986,37,BHR
Uganda,1986,38,UGA
Trinidad and Tobago,1986,38,TTO
Saudi Arabia,1986,43,SAU
Mexico,1986,56,MEX
Norway,1986,57,NOR
Sudan,1986,61,SDN
Bulgaria,1986,62,BGR
Tanzania,1986,64,TZA
Bangladesh,1986,66,BGD
New Caledonia,1986,68,NCL
Kuwait,1986,77,KWT
Finland,1986,89,FIN
Belgium,1986,96,BEL
Seychelles,1986,98,SYC
Cook Islands,1986,99,COK
Colombia,1986,109,COL
Tonga,1986,126,TON
Zambia,1986,126,ZMB
Iraq,1986,127,IRQ
Brunei,1986,127,BRN
Brazil,1986,139,BRA
Ethiopia,1986,144,ETH
Kenya,1986,153,KEN
Nicaragua,1986,162,NIC
Uruguay,1986,185,URY
Myanmar,1986,236,MMR
Jordan,1986,239,JOR
Austria,1986,243,AUT
Papua New Guinea,1986,245,PNG
Spain,1986,261,ESP
Sweden,1986,272,SWE
Peru,1986,306,PER
Syria,1986,314,SYR
Switzerland,1986,320,CHE
Pakistan,1986,325,PAK
Denmark,1986,337,DNK
Israel,1986,377,ISR
Japan,1986,393,JPN
France,1986,398,FRA
Argentina,1986,398,ARG
Zimbabwe,1986,471,ZWE
Cyprus,1986,473,CYP
Malta,1986,484,MLT
Hungary,1986,492,HUN
Afghanistan,1986,518,AFG
Netherlands,1986,564,NLD
Italy,1986,591,ITA
El Salvador,1986,645,SLV
Romania,1986,739,ROU
Thailand,1986,864,THA
Egypt,1986,941,EGY
Greece,1986,949,GRC
Canada,1986,1036,CAN
Iran,1986,1114,IRN
Turkey,1986,1153,TUR
Portugal,1986,1166,PRT
Cambodia,1986,1374,KHM
Indonesia,1986,1385,IDN
Mauritius,1986,1454,MUS
Singapore,1986,1530,SGP
Korea,1986,1550,PRK
Fiji,1986,1584,FJI
Poland,1986,1618,POL
United States of America,1986,1823,USA
Chile,1986,2018,CHL
Ireland,1986,2346,IRL
India,1986,2540,IND
Sri Lanka,1986,2795,LKA
Lebanon,1986,2871,LBN
Hong Kong,1986,3403,HKG
Malaysia,1986,3946,MYS
South Africa,1986,4671,ZAF
Philippines,1986,6409,PHL
Viet Nam,1986,6645,VNM
New Zealand,1986,13584,NZL
United Kingdom,1986,20235,GBR
Albania,1987,5,ALB
Ukraine,1987,5,UKR
Christmas Island,1987,5,CXR
Cocos (Keeling) Is,1987,5,CCK
Guam,1987,5,GUM
Norfolk Island,1987,5,NFK
Liechtenstein,1987,5,LIE
Monaco,1987,5,MCO
Yemen,1987,5,YEM
Benin,1987,5,BEN
Côte d'Ivoire,1987,5,CIV
Cameroon,1987,5,CMR
Congo,1987,5,COG
Equatorial Guinea,1987,5,GNQ
Gabon,1987,5,GAB
Gambia,1987,5,GMB
Guinea,1987,5,GIN
Lesotho,1987,5,LSO
Reunion,1987,5,REU
Senegal,1987,5,SEN
Mongolia,1987,5,MNG
Belize,1987,5,BLZ
Cuba,1987,5,CUB
Dominican Republic,1987,5,DOM
Falkland Islands,1987,5,FLK
Haiti,1987,5,HTI
Martinique,1987,5,MTQ
Paraguay,1987,5,PRY
Puerto Rico,1987,5,PRI
Virgin Islands,1987,5,USA
Nauru,1987,6,NRU
Palau,1987,6,PLW
Gibraltar,1987,6,GIB
Oman,1987,6,OMN
Panama,1987,6,PAN
Kiribati,1987,7,KIR
Mauritania,1987,7,MRT
Zaire,1987,7,AGO
Liberia,1987,8,LBR
Niger,1987,8,NGA
Sierra Leone,1987,8,SLE
Barbados,1987,8,BRB
Estonia,1987,9,EST
Botswana,1987,9,BWA
Mali,1987,9,MLI
Iceland,1987,10,ISL
Bermuda,1987,10,BMU
Bahamas,1987,10,BHS
Luxembourg,1987,11,LUX
Qatar,1987,11,QAT
Lithuania,1987,12,LTU
Latvia,1987,14,LVA
Honduras,1987,14,HND
Jamaica,1987,17,JAM
Tunisia,1987,18,TUN
Somalia,1987,18,SOM
Malawi,1987,20,MWI
Costa Rica,1987,21,CRI
French Polynesia,1987,22,PYF
Vanuatu,1987,23,VUT
Nigeria,1987,24,NGA
Nepal,1987,25,NPL
Guyana,1987,25,GUY
Ecuador,1987,27,ECU
Guatemala,1987,27,GTM
Algeria,1987,28,DZA
Libya,1987,29,LBY
Bolivia,1987,29,BOL
Uganda,1987,32,UGA
Venezuela,1987,33,VEN
Solomon Islands,1987,34,SLB
Ghana,1987,39,GHA
Bahrain,1987,44,BHR
Morocco,1987,45,MAR
Bulgaria,1987,47,BGR
Angola,1987,49,AGO
Saudi Arabia,1987,51,SAU
Mozambique,1987,55,MOZ
Nicaragua,1987,58,NIC
Trinidad and Tobago,1987,58,TTO
New Caledonia,1987,60,NCL
Norway,1987,65,NOR
Mexico,1987,71,MEX
Tanzania,1987,74,TZA
Sudan,1987,77,SDN
United Arab Emirates,1987,79,ARE
Colombia,1987,85,COL
Finland,1987,96,FIN
Belgium,1987,104,BEL
Zambia,1987,114,ZMB
Bangladesh,1987,116,BGD
Ethiopia,1987,119,ETH
Kuwait,1987,122,KWT
Madagascar,1987,123,MDG
Cook Islands,1987,126,COK
Iraq,1987,129,IRQ
Seychelles,1987,184,SYC
Uruguay,1987,194,URY
Brazil,1987,201,BRA
Jordan,1987,214,JOR
Kenya,1987,220,KEN
Spain,1987,245,ESP
Papua New Guinea,1987,272,PNG
Austria,1987,279,AUT
Afghanistan,1987,281,AFG
Peru,1987,294,PER
Tonga,1987,295,TON
Myanmar,1987,298,MMR
Brunei,1987,343,BRN
Sweden,1987,364,SWE
Pakistan,1987,367,PAK
Israel,1987,371,ISR
Argentina,1987,393,ARG
Malta,1987,432,MLT
France,1987,463,FRA
Switzerland,1987,467,CHE
Syria,1987,513,SYR
Zimbabwe,1987,523,ZWE
Italy,1987,528,ITA
Cyprus,1987,528,CYP
Denmark,1987,538,DNK
Netherlands,1987,567,NLD
Hungary,1987,666,HUN
Japan,1987,722,JPN
Greece,1987,885,GRC
Thailand,1987,930,THA
Romania,1987,973,ROU
Canada,1987,1044,CAN
El Salvador,1987,1049,SLV
Cambodia,1987,1224,KHM
Indonesia,1987,1243,IDN
Egypt,1987,1315,EGY
Iran,1987,1355,IRN
Portugal,1987,1377,PRT
Turkey,1987,1382,TUR
Korea,1987,1810,PRK
Poland,1987,1927,POL
Chile,1987,1965,CHL
United States of America,1987,2031,USA
Singapore,1987,2070,SGP
Mauritius,1987,2143,MUS
Ireland,1987,2658,IRL
Sri Lanka,1987,2886,LKA
Fiji,1987,2980,FJI
India,1987,3041,IND
South Africa,1987,3791,ZAF
Lebanon,1987,4249,LBN
Hong Kong,1987,5571,HKG
Viet Nam,1987,5962,VNM
Malaysia,1987,6239,MYS
Philippines,1987,10429,PHL
New Zealand,1987,20907,NZL
United Kingdom,1987,24587,GBR
Estonia,1988,5,EST
Ukraine,1988,5,UKR
Christmas Island,1988,5,CXR
Cocos (Keeling) Is,1988,5,CCK
Palau,1988,5,PLW
Gibraltar,1988,5,GIB
Greenland,1988,5,GRL
Liechtenstein,1988,5,LIE
Luxembourg,1988,5,LUX
Monaco,1988,5,MCO
Botswana,1988,5,BWA
Burundi,1988,5,BDI
Côte d'Ivoire,1988,5,CIV
Congo,1988,5,COG
Djibouti,1988,5,DJI
Gambia,1988,5,GMB
Guinea,1988,5,GIN
Lesotho,1988,5,LSO
Liberia,1988,5,LBR
Madagascar,1988,5,MDG
Rwanda,1988,5,RWA
Senegal,1988,5,SEN
Sierra Leone,1988,5,SLE
Togo,1988,5,TGO
Bhutan,1988,5,BTN
Maldives,1988,5,MDV
Bahamas,1988,5,BHS
Dominican Republic,1988,5,DOM
French Guiana,1988,5,GUF
Guadeloupe,1988,5,FRA
Haiti,1988,5,HTI
Martinique,1988,5,MTQ
Panama,1988,5,PAN
Suriname,1988,5,SUR
Latvia,1988,6,LVA
Nauru,1988,6,NRU
Zaire,1988,6,AGO
Kiribati,1988,7,KIR
Iceland,1988,7,ISL
Yemen,1988,7,YEM
Honduras,1988,7,HND
Qatar,1988,8,QAT
Costa Rica,1988,8,CRI
Cuba,1988,9,CUB
Tunisia,1988,10,TUN
Niger,1988,10,NGA
Oman,1988,11,OMN
Lithuania,1988,12,LTU
French Polynesia,1988,13,PYF
Barbados,1988,13,BRB
Guatemala,1988,13,GTM
Guyana,1988,13,GUY
Bermuda,1988,14,BMU
Angola,1988,18,AGO
Mozambique,1988,18,MOZ
Libya,1988,20,LBY
Bolivia,1988,20,BOL
Jamaica,1988,20,JAM
Malawi,1988,21,MWI
Somalia,1988,21,SOM
Vanuatu,1988,22,VUT
Nigeria,1988,24,NGA
Paraguay,1988,25,PRY
Solomon Islands,1988,31,SLB
Uganda,1988,31,UGA
Algeria,1988,32,DZA
Nepal,1988,35,NPL
Morocco,1988,36,MAR
Venezuela,1988,36,VEN
Ghana,1988,38,GHA
Bahrain,1988,44,BHR
Ecuador,1988,44,ECU
Bulgaria,1988,45,BGR
Trinidad and Tobago,1988,45,TTO
Mexico,1988,53,MEX
New Caledonia,1988,62,NCL
Tanzania,1988,66,TZA
Saudi Arabia,1988,75,SAU
Norway,1988,83,NOR
Nicaragua,1988,90,NIC
Ethiopia,1988,98,ETH
Belgium,1988,104,BEL
Cook Islands,1988,107,COK
Finland,1988,108,FIN
Zambia,1988,108,ZMB
Sudan,1988,112,SDN
Kuwait,1988,113,KWT
Seychelles,1988,115,SYC
United Arab Emirates,1988,116,ARE
Colombia,1988,137,COL
Iraq,1988,143,IRQ
Uruguay,1988,149,URY
Spain,1988,158,ESP
Brazil,1988,163,BRA
Jordan,1988,181,JOR
Tonga,1988,187,TON
Kenya,1988,204,KEN
Bangladesh,1988,219,BGD
Myanmar,1988,220,MMR
Austria,1988,224,AUT
Papua New Guinea,1988,235,PNG
Peru,1988,246,PER
Israel,1988,264,ISR
Malta,1988,265,MLT
Argentina,1988,313,ARG
Brunei,1988,333,BRN
Afghanistan,1988,338,AFG
Sweden,1988,374,SWE
Pakistan,1988,385,PAK
Italy,1988,421,ITA
Syria,1988,427,SYR
Zimbabwe,1988,444,ZWE
Cyprus,1988,447,CYP
France,1988,448,FRA
Mauritius,1988,497,MUS
Denmark,1988,498,DNK
Switzerland,1988,514,CHE
Hungary,1988,548,HUN
Netherlands,1988,561,NLD
Greece,1988,597,GRC
Japan,1988,806,JPN
Romania,1988,902,ROU
Canada,1988,993,CAN
Thailand,1988,1017,THA
Portugal,1988,1042,PRT
Iran,1988,1148,IRN
Turkey,1988,1227,TUR
Egypt,1988,1285,EGY
Chile,1988,1358,CHL
Indonesia,1988,1422,IDN
Cambodia,1988,1480,KHM
El Salvador,1988,1539,SLV
Poland,1988,1601,POL
Korea,1988,1666,PRK
Singapore,1988,1946,SGP
United States of America,1988,2061,USA
Fiji,1988,2690,FJI
Lebanon,1988,2785,LBN
Sri Lanka,1988,2937,LKA
South Africa,1988,3024,ZAF
India,1988,3109,IND
Ireland,1988,4045,IRL
Hong Kong,1988,7307,HKG
Malaysia,1988,7681,MYS
Viet Nam,1988,7971,VNM
Philippines,1988,9204,PHL
New Zealand,1988,23539,NZL
United Kingdom,1988,23933,GBR
Albania,1989,5,ALB
Latvia,1989,5,LVA
Lithuania,1989,5,LTU
Ukraine,1989,5,UKR
Guam,1989,5,GUM
Nauru,1989,5,NRU
Norfolk Island,1989,5,NFK
Palau,1989,5,PLW
Andorra,1989,5,AND
Gibraltar,1989,5,GIB
Monaco,1989,5,MCO
Mauritania,1989,5,MRT
Qatar,1989,5,QAT
Tunisia,1989,5,TUN
Cameroon,1989,5,CMR
Central African Republic,1989,5,CAF
Congo,1989,5,COG
Djibouti,1989,5,DJI
Guinea,1989,5,GIN
Guinea-Bissau,1989,5,GNB
Reunion,1989,5,REU
Senegal,1989,5,SEN
Maldives,1989,5,MDV
Bahamas,1989,5,BHS
Cuba,1989,5,CUB
Dominican Republic,1989,5,DOM
Falkland Islands,1989,5,FLK
French Guiana,1989,5,GUF
Haiti,1989,5,HTI
Martinique,1989,5,MTQ
Panama,1989,5,PAN
Suriname,1989,5,SUR
Estonia,1989,6,EST
Yemen,1989,6,YEM
Sierra Leone,1989,6,SLE
Costa Rica,1989,6,CRI
Luxembourg,1989,7,LUX
Madagascar,1989,7,MDG
Niger,1989,7,NGA
Zaire,1989,7,AGO
Bermuda,1989,8,BMU
Barbados,1989,8,BRB
Kiribati,1989,9,KIR
Oman,1989,10,OMN
Angola,1989,10,AGO
French Polynesia,1989,11,PYF
Botswana,1989,11,BWA
Paraguay,1989,11,PRY
Libya,1989,12,LBY
Guyana,1989,15,GUY
Honduras,1989,16,HND
Vanuatu,1989,17,VUT
Mozambique,1989,17,MOZ
Somalia,1989,17,SOM
Algeria,1989,20,DZA
Jamaica,1989,21,JAM
Iceland,1989,22,ISL
Guatemala,1989,22,GTM
Ghana,1989,23,GHA
Bolivia,1989,25,BOL
Bahrain,1989,26,BHR
Malawi,1989,26,MWI
Solomon Islands,1989,28,SLB
Morocco,1989,28,MAR
Seychelles,1989,28,SYC
Nepal,1989,32,NPL
Venezuela,1989,32,VEN
Ecuador,1989,33,ECU
Trinidad and Tobago,1989,34,TTO
Saudi Arabia,1989,40,SAU
Mexico,1989,40,MEX
Nigeria,1989,41,NGA
Uganda,1989,42,UGA
New Caledonia,1989,49,NCL
Tanzania,1989,51,TZA
Bulgaria,1989,61,BGR
Sudan,1989,64,SDN
Nicaragua,1989,73,NIC
Kuwait,1989,76,KWT
Spain,1989,87,ESP
Norway,1989,88,NOR
Belgium,1989,94,BEL
United Arab Emirates,1989,96,ARE
Cook Islands,1989,97,COK
Uruguay,1989,97,URY
Brunei,1989,109,BRN
Zambia,1989,117,ZMB
Finland,1989,120,FIN
Iraq,1989,123,IRQ
Tonga,1989,130,TON
Jordan,1989,133,JOR
Myanmar,1989,141,MMR
Colombia,1989,142,COL
Brazil,1989,149,BRA
Ethiopia,1989,154,ETH
Malta,1989,156,MLT
Bangladesh,1989,167,BGD
Austria,1989,189,AUT
Hungary,1989,195,HUN
Kenya,1989,201,KEN
Mauritius,1989,204,MUS
Afghanistan,1989,239,AFG
Peru,1989,240,PER
Cyprus,1989,253,CYP
Israel,1989,255,ISR
Papua New Guinea,1989,267,PNG
Syria,1989,286,SYR
Italy,1989,306,ITA
Cambodia,1989,309,KHM
Pakistan,1989,311,PAK
Denmark,1989,312,DNK
France,1989,325,FRA
Sweden,1989,365,SWE
Greece,1989,417,GRC
Switzerland,1989,425,CHE
Netherlands,1989,428,NLD
Argentina,1989,480,ARG
Zimbabwe,1989,625,ZWE
Japan,1989,634,JPN
Egypt,1989,667,EGY
Chile,1989,735,CHL
Iran,1989,796,IRN
Turkey,1989,882,TUR
Thailand,1989,889,THA
Portugal,1989,957,PRT
Romania,1989,1115,ROU
Canada,1989,1118,CAN
Indonesia,1989,1252,IDN
Korea,1989,1378,PRK
Singapore,1989,1567,SGP
Poland,1989,1672,POL
United States of America,1989,1889,USA
El Salvador,1989,1922,SLV
Ireland,1989,2070,IRL
Lebanon,1989,2225,LBN
Sri Lanka,1989,2245,LKA
South Africa,1989,2424,ZAF
Fiji,1989,2632,FJI
India,1989,3016,IND
Philippines,1989,6080,PHL
Malaysia,1989,6417,MYS
Hong Kong,1989,8054,HKG
Viet Nam,1989,11156,VNM
New Zealand,1989,11178,NZL
United Kingdom,1989,23521,GBR
Albania,1990,5,ALB
Estonia,1990,5,EST
Latvia,1990,5,LVA
Lithuania,1990,5,LTU
Christmas Island,1990,5,CXR
Federated States of Micronesia,1990,5,FSM
Guam,1990,5,GUM
Niue,1990,5,NIU
Norfolk Island,1990,5,NFK
Tokelau,1990,5,TKL
Andorra,1990,5,AND
Gibraltar,1990,5,GIB
Luxembourg,1990,5,LUX
Mauritania,1990,5,MRT
Oman,1990,5,OMN
Burundi,1990,5,BDI
Côte d'Ivoire,1990,5,CIV
Gabon,1990,5,GAB
Guinea-Bissau,1990,5,GNB
Lesotho,1990,5,LSO
Madagascar,1990,5,MDG
Namibia,1990,5,NAM
Reunion,1990,5,REU
Rwanda,1990,5,RWA
Sao Tome and Principe,1990,5,STP
Sierra Leone,1990,5,SLE
Togo,1990,5,TGO
Zaire,1990,5,AGO
Maldives,1990,5,MDV
Bahamas,1990,5,BHS
Barbados,1990,5,BRB
Belize,1990,5,BLZ
Cuba,1990,5,CUB
Dominica,1990,5,DMA
Dominican Republic,1990,5,DOM
French Guiana,1990,5,GUF
Guadeloupe,1990,5,FRA
Haiti,1990,5,HTI
Martinique,1990,5,MTQ
Panama,1990,5,PAN
Puerto Rico,1990,5,PRI
Suriname,1990,5,SUR
Kiribati,1990,6,KIR
Djibouti,1990,6,DJI
Yemen,1990,7,YEM
Botswana,1990,7,BWA
Senegal,1990,7,SEN
Nauru,1990,8,NRU
Costa Rica,1990,8,CRI
Tunisia,1990,9,TUN
Paraguay,1990,9,PRY
Bolivia,1990,10,BOL
Bermuda,1990,11,BMU
Jamaica,1990,11,JAM
Solomon Islands,1990,12,SLB
Malawi,1990,12,MWI
Guatemala,1990,12,GTM
Niger,1990,13,NGA
New Caledonia,1990,15,NCL
Qatar,1990,16,QAT
Angola,1990,17,AGO
Mozambique,1990,17,MOZ
Libya,1990,19,LBY
Guyana,1990,19,GUY
Vanuatu,1990,20,VUT
Iceland,1990,20,ISL
French Polynesia,1990,26,PYF
Algeria,1990,27,DZA
Bahrain,1990,27,BHR
Honduras,1990,27,HND
Seychelles,1990,32,SYC
Trinidad and Tobago,1990,32,TTO
Mexico,1990,34,MEX
Nigeria,1990,38,NGA
Cook Islands,1990,40,COK
Morocco,1990,41,MAR
Ecuador,1990,42,ECU
Venezuela,1990,46,VEN
Uganda,1990,48,UGA
Sudan,1990,52,SDN
Tanzania,1990,52,TZA
Nepal,1990,54,NPL
Bulgaria,1990,57,BGR
Saudi Arabia,1990,60,SAU
Ghana,1990,60,GHA
Nicaragua,1990,62,NIC
United Arab Emirates,1990,63,ARE
Kuwait,1990,66,KWT
Belgium,1990,67,BEL
Somalia,1990,76,SOM
Spain,1990,78,ESP
Brunei,1990,88,BRN
Colombia,1990,95,COL
Norway,1990,101,NOR
Malta,1990,102,MLT
Zambia,1990,106,ZMB
Tonga,1990,114,TON
Myanmar,1990,116,MMR
Uruguay,1990,116,URY
Finland,1990,121,FIN
Brazil,1990,137,BRA
Cyprus,1990,145,CYP
Austria,1990,164,AUT
Papua New Guinea,1990,190,PNG
Iraq,1990,191,IRQ
Cambodia,1990,193,KHM
Hungary,1990,216,HUN
Kenya,1990,217,KEN
Jordan,1990,221,JOR
Israel,1990,246,ISR
Mauritius,1990,259,MUS
Peru,1990,295,PER
Pakistan,1990,300,PAK
Denmark,1990,304,DNK
Netherlands,1990,308,NLD
Afghanistan,1990,324,AFG
Syria,1990,341,SYR
France,1990,342,FRA
Greece,1990,351,GRC
Italy,1990,353,ITA
Bangladesh,1990,358,BGD
Sweden,1990,387,SWE
Switzerland,1990,409,CHE
Zimbabwe,1990,473,ZWE
Argentina,1990,520,ARG
Japan,1990,574,JPN
Romania,1990,637,ROU
Chile,1990,704,CHL
Egypt,1990,802,EGY
Portugal,1990,867,PRT
Canada,1990,910,CAN
Thailand,1990,945,THA
Iran,1990,977,IRN
Korea,1990,982,PRK
Indonesia,1990,1071,IDN
Turkey,1990,1090,TUR
Ireland,1990,1115,IRL
Singapore,1990,1275,SGP
El Salvador,1990,1538,SLV
Poland,1990,1597,POL
United States of America,1990,1890,USA
South Africa,1990,2084,ZAF
Fiji,1990,2440,FJI
Lebanon,1990,2891,LBN
Sri Lanka,1990,3271,LKA
India,1990,5081,IND
Malaysia,1990,5744,MYS
Philippines,1990,6388,PHL
New Zealand,1990,7467,NZL
Viet Nam,1990,13248,VNM
Hong Kong,1990,13541,HKG
United Kingdom,1990,20746,GBR
Estonia,1991,5,EST
Latvia,1991,5,LVA
Lithuania,1991,5,LTU
Tokelau,1991,5,TKL
Wallis and Futuna,1991,5,WLF
Andorra,1991,5,AND
Gibraltar,1991,5,GIB
Luxembourg,1991,5,LUX
Russian Federation,1991,5,RUS
Yemen,1991,5,YEM
Botswana,1991,5,BWA
Djibouti,1991,5,DJI
Lesotho,1991,5,LSO
Liberia,1991,5,LBR
Madagascar,1991,5,MDG
Mali,1991,5,MLI
Namibia,1991,5,NAM
Reunion,1991,5,REU
Rwanda,1991,5,RWA
Senegal,1991,5,SEN
Antigua and Barbuda,1991,5,ATG
Barbados,1991,5,BRB
Dominica,1991,5,DMA
Dominican Republic,1991,5,DOM
Falkland Islands,1991,5,FLK
French Guiana,1991,5,GUF
Martinique,1991,5,MTQ
Panama,1991,5,PAN
Puerto Rico,1991,5,PRI
Suriname,1991,5,SUR
Nauru,1991,6,NRU
Sierra Leone,1991,6,SLE
Bermuda,1991,6,BMU
Belize,1991,6,BLZ
Paraguay,1991,6,PRY
Kiribati,1991,7,KIR
Vanuatu,1991,7,VUT
Niger,1991,7,NGA
Costa Rica,1991,7,CRI
Tunisia,1991,8,TUN
Cuba,1991,8,CUB
Guyana,1991,8,GUY
Libya,1991,9,LBY
Niue,1991,10,NIU
Oman,1991,10,OMN
Zaire,1991,10,AGO
Angola,1991,11,AGO
Trinidad and Tobago,1991,12,TTO
Ukraine,1991,13,UKR
Solomon Islands,1991,14,SLB
Qatar,1991,14,QAT
Honduras,1991,15,HND
French Polynesia,1991,16,PYF
Bahrain,1991,17,BHR
Malawi,1991,18,MWI
Mozambique,1991,18,MOZ
Jamaica,1991,18,JAM
Iceland,1991,20,ISL
Guatemala,1991,20,GTM
Bolivia,1991,21,BOL
Belgium,1991,28,BEL
New Caledonia,1991,28,NCL
Seychelles,1991,29,SYC
Nicaragua,1991,29,NIC
Algeria,1991,30,DZA
Morocco,1991,30,MAR
Ecuador,1991,34,ECU
Venezuela,1991,38,VEN
Mexico,1991,41,MEX
Norway,1991,42,NOR
Zambia,1991,50,ZMB
Cook Islands,1991,51,COK
Uganda,1991,53,UGA
Tanzania,1991,54,TZA
Nepal,1991,54,NPL
Nigeria,1991,59,NGA
Spain,1991,68,ESP
Cyprus,1991,79,CYP
Finland,1991,80,FIN
United Arab Emirates,1991,81,ARE
Saudi Arabia,1991,82,SAU
Colombia,1991,88,COL
Sudan,1991,92,SDN
Ghana,1991,96,GHA
Brunei,1991,98,BRN
Albania,1991,101,ALB
Tonga,1991,106,TON
Somalia,1991,107,SOM
Malta,1991,118,MLT
Uruguay,1991,131,URY
Papua New Guinea,1991,132,PNG
Austria,1991,135,AUT
Brazil,1991,147,BRA
Myanmar,1991,162,MMR
Kenya,1991,184,KEN
Sweden,1991,194,SWE
Hungary,1991,203,HUN
Denmark,1991,211,DNK
Bulgaria,1991,213,BGR
Kuwait,1991,221,KWT
Israel,1991,228,ISR
Greece,1991,233,GRC
Zimbabwe,1991,253,ZWE
Netherlands,1991,257,NLD
France,1991,266,FRA
Italy,1991,285,ITA
Mauritius,1991,291,MUS
Switzerland,1991,302,CHE
Syria,1991,315,SYR
Cambodia,1991,322,KHM
Jordan,1991,356,JOR
Peru,1991,365,PER
Portugal,1991,424,PRT
Argentina,1991,514,ARG
Japan,1991,536,JPN
Chile,1991,536,CHL
Pakistan,1991,601,PAK
Bangladesh,1991,605,BGD
Romania,1991,615,ROU
Iran,1991,668,IRN
Ireland,1991,722,IRL
Thailand,1991,863,THA
Singapore,1991,867,SGP
Canada,1991,877,CAN
Turkey,1991,888,TUR
Egypt,1991,938,EGY
Afghanistan,1991,949,AFG
Indonesia,1991,1145,IDN
Korea,1991,1224,PRK
El Salvador,1991,1239,SLV
South Africa,1991,1274,ZAF
Iraq,1991,1407,IRQ
Lebanon,1991,1617,LBN
United States of America,1991,1687,USA
Poland,1991,1852,POL
Fiji,1991,2145,FJI
Sri Lanka,1991,2777,LKA
Malaysia,1991,3123,MYS
India,1991,5608,IND
Philippines,1991,5917,PHL
New Zealand,1991,7242,NZL
Viet Nam,1991,9592,VNM
Hong Kong,1991,12913,HKG
United Kingdom,1991,14465,GBR
Estonia,1992,5,EST
Norfolk Island,1992,5,NFK
Gibraltar,1992,5,GIB
Liechtenstein,1992,5,LIE
Monaco,1992,5,MCO
Georgia,1992,5,GEO
Kyrgyzstan,1992,5,KGZ
Tajikistan,1992,5,TJK
Mauritania,1992,5,MRT
Oman,1992,5,OMN
Yemen,1992,5,YEM
Botswana,1992,5,BWA
Côte d'Ivoire,1992,5,CIV
Cameroon,1992,5,CMR
Congo,1992,5,COG
Madagascar,1992,5,MDG
Namibia,1992,5,NAM
Niger,1992,5,NGA
Reunion,1992,5,REU
Rwanda,1992,5,RWA
Sao Tome and Principe,1992,5,STP
Senegal,1992,5,SEN
Sierra Leone,1992,5,SLE
Togo,1992,5,TGO
Bermuda,1992,5,BMU
Bahamas,1992,5,BHS
Barbados,1992,5,BRB
Belize,1992,5,BLZ
Cuba,1992,5,CUB
Dominican Republic,1992,5,DOM
Grenada,1992,5,GRD
Guyana,1992,5,GUY
Haiti,1992,5,HTI
Nicaragua,1992,5,NIC
Suriname,1992,5,SUR
Kiribati,1992,6,KIR
Nauru,1992,6,NRU
Tunisia,1992,6,TUN
New Caledonia,1992,7,NCL
Libya,1992,7,LBY
Qatar,1992,7,QAT
French Guiana,1992,7,GUF
Vanuatu,1992,8,VUT
Seychelles,1992,8,SYC
Jamaica,1992,8,JAM
French Polynesia,1992,9,PYF
Niue,1992,9,NIU
Guatemala,1992,9,GTM
Malawi,1992,10,MWI
Latvia,1992,11,LVA
Solomon Islands,1992,11,SLB
Iceland,1992,12,ISL
Azerbaijan,1992,12,AZE
Angola,1992,12,AGO
Zaire,1992,13,AGO
Costa Rica,1992,13,CRI
Tokelau,1992,14,TKL
Bahrain,1992,14,BHR
Mozambique,1992,14,MOZ
Algeria,1992,16,DZA
Bolivia,1992,16,BOL
Djibouti,1992,17,DJI
Lithuania,1992,18,LTU
Trinidad and Tobago,1992,18,TTO
Tanzania,1992,19,TZA
Venezuela,1992,20,VEN
Morocco,1992,22,MAR
Kazakhstan,1992,24,KAZ
Honduras,1992,25,HND
Mexico,1992,26,MEX
United Arab Emirates,1992,27,ARE
Belgium,1992,32,BEL
Cook Islands,1992,33,COK
Ecuador,1992,33,ECU
Norway,1992,34,NOR
Spain,1992,44,ESP
Armenia,1992,45,ARM
Uzbekistan,1992,47,UZB
Nepal,1992,47,NPL
Belarus,1992,49,BLR
Brunei,1992,51,BRN
Albania,1992,52,ALB
Zambia,1992,53,ZMB
Uganda,1992,56,UGA
Moldova,1992,59,MDA
Nigeria,1992,59,NGA
Malta,1992,60,MLT
Finland,1992,61,FIN
Saudi Arabia,1992,70,SAU
Ghana,1992,71,GHA
